id,species_identifier,display_name,hp,attack,defense,speed,special_attack,special_defense,type1,type2,ability1,ability2,mondexentry,sprite
229,SPECIES_HOUNDOOM,Houndoom,75,90,50,95,110,80,TYPE_DARK,TYPE_FIRE,ABILITY_EARLY_BIRD,ABILITY_FLASH_FIRE,"If you are burned by the flames
it shoots from its mouth,
the pain will never go away.",https://play.pokemonshowdown.com/sprites/gen5/houndoom.png
230,SPECIES_KINGDRA,Kingdra,75,95,95,85,95,95,TYPE_WATER,TYPE_DRAGON,ABILITY_SWIFT_SWIM,ABILITY_SNIPER,"It is said that it usually hides in
underwater caves. It can create
whirlpools by yawning.",https://play.pokemonshowdown.com/sprites/gen5/kingdra.png
231,SPECIES_PHANPY,Phanpy,90,60,60,40,40,40,TYPE_GROUND,TYPE_GROUND,ABILITY_PICKUP,ABILITY_NONE,"It swings its long snout around
playfully, but because it is so
strong, that can be dangerous.",https://play.pokemonshowdown.com/sprites/gen5/phanpy.png
232,SPECIES_DONPHAN,Donphan,90,120,120,50,60,60,TYPE_GROUND,TYPE_GROUND,ABILITY_STURDY,ABILITY_NONE,"It has sharp, hard tusks and a
rugged hide. Its tackle is strong
enough to knock down a house.",https://play.pokemonshowdown.com/sprites/gen5/donphan.png
233,SPECIES_STANTLER,Stantler,73,95,62,85,85,65,TYPE_NORMAL,TYPE_NORMAL,ABILITY_INTIMIDATE,ABILITY_FRISK,"The curved antlers subtly change
the flow of air to create a strange
space where reality is distorted.",https://play.pokemonshowdown.com/sprites/gen5/stantler.png
234,SPECIES_SMEARGLE,Smeargle,55,20,35,75,20,45,TYPE_NORMAL,TYPE_NORMAL,ABILITY_OWN_TEMPO,ABILITY_TECHNICIAN,"A special fluid oozes from the tip
of its tail. It paints the fluid
everywhere to mark its territory.",https://play.pokemonshowdown.com/sprites/gen5/smeargle.png
235,SPECIES_TYROGUE,Tyrogue,35,35,35,35,35,35,TYPE_FIGHTING,TYPE_FIGHTING,ABILITY_GUTS,ABILITY_STEADFAST,"It is always bursting with energy.
To make itself stronger, it
keeps on fighting even if it loses.",https://play.pokemonshowdown.com/sprites/gen5/tyrogue.png
236,SPECIES_HITMONTOP,Hitmontop,50,95,95,70,35,110,TYPE_FIGHTING,TYPE_FIGHTING,ABILITY_INTIMIDATE,ABILITY_TECHNICIAN,"If you are enchanted by its smooth,
dance-like kicks, you may get a closer
experience with one than you’d like.",https://play.pokemonshowdown.com/sprites/gen5/hitmontop.png
237,SPECIES_SMOOCHUM,Smoochum,45,30,15,65,85,65,TYPE_ICE,TYPE_PSYCHIC,ABILITY_OBLIVIOUS,ABILITY_FOREWARN,"Its lips are the most sensitive
part of its body. It always uses
its lips first to examine things.",https://play.pokemonshowdown.com/sprites/gen5/smoochum.png
238,SPECIES_ELEKID,Elekid,45,63,37,95,65,55,TYPE_ELECTRIC,TYPE_ELECTRIC,ABILITY_STATIC,ABILITY_NONE,"It rotates its arms to generate
electricity, but it tires easily,
so it only charges up a little bit.",https://play.pokemonshowdown.com/sprites/gen5/elekid.png
239,SPECIES_MAGBY,Magby,45,75,37,83,70,55,TYPE_FIRE,TYPE_FIRE,ABILITY_FLAME_BODY,ABILITY_NONE,"Each and every time it inhales
and exhales, hot embers dribble
from its mouth and nostrils.",https://play.pokemonshowdown.com/sprites/gen5/magby.png
240,SPECIES_MILTANK,Miltank,95,80,105,100,40,70,TYPE_NORMAL,TYPE_NORMAL,ABILITY_THICK_FAT,ABILITY_SCRAPPY,"Its milk is packed with nutrition,
making it the ultimate beverage
for the sick or weary.",https://play.pokemonshowdown.com/sprites/gen5/miltank.png
241,SPECIES_BLISSEY,Blissey,255,10,10,55,75,135,TYPE_NORMAL,TYPE_NORMAL,ABILITY_NATURAL_CURE,ABILITY_SERENE_GRACE,"Anyone who takes even one taste of
BLISSEY’s egg becomes unfailingly
caring and pleasant to everyone.",https://play.pokemonshowdown.com/sprites/gen5/blissey.png
242,SPECIES_RAIKOU,Raikou,90,85,75,115,115,100,TYPE_ELECTRIC,TYPE_ELECTRIC,ABILITY_PRESSURE,ABILITY_NONE,"The rain clouds it carries let it
fire thunderbolts at will. They say
that it descended with lightning.",https://play.pokemonshowdown.com/sprites/gen5/raikou.png
243,SPECIES_ENTEI,Entei,115,115,85,100,90,75,TYPE_FIRE,TYPE_FIRE,ABILITY_PRESSURE,ABILITY_NONE,"Volcanoes erupt when it barks.
Unable to contain its sheer power,
it races headlong around the land.",https://play.pokemonshowdown.com/sprites/gen5/entei.png
244,SPECIES_SUICUNE,Suicune,100,75,115,85,90,115,TYPE_WATER,TYPE_WATER,ABILITY_PRESSURE,ABILITY_NONE,"Said to be the embodiment of
north winds, it can instantly
purify filthy, murky water.",https://play.pokemonshowdown.com/sprites/gen5/suicune.png
245,SPECIES_LARVITAR,Larvitar,50,64,50,41,45,50,TYPE_ROCK,TYPE_GROUND,ABILITY_GUTS,ABILITY_NONE,"It feeds on soil. After it has eaten
a large mountain, it falls asleep
so it can grow.",https://play.pokemonshowdown.com/sprites/gen5/larvitar.png
246,SPECIES_PUPITAR,Pupitar,70,84,70,51,65,70,TYPE_ROCK,TYPE_GROUND,ABILITY_SHED_SKIN,ABILITY_NONE,"Its shell is as hard as sheet rock,
and it is also very strong. Its
thrashing can topple a mountain.",https://play.pokemonshowdown.com/sprites/gen5/pupitar.png
247,SPECIES_TYRANITAR,Tyranitar,100,134,110,61,95,100,TYPE_ROCK,TYPE_DARK,ABILITY_SAND_STREAM,ABILITY_NONE,"Its body can’t be harmed by any
sort of attack, so it is very eager
to make challenges against enemies.",https://play.pokemonshowdown.com/sprites/gen5/tyranitar.png
248,SPECIES_LUGIA,Lugia,106,90,130,110,90,154,TYPE_PSYCHIC,TYPE_FLYING,ABILITY_PRESSURE,ABILITY_NONE,"It is said that it quietly spends its
time deep at the bottom of the sea
because its powers are too strong.",https://play.pokemonshowdown.com/sprites/gen5/lugia.png
249,SPECIES_HO_OH,Ho-oh,106,130,90,90,110,154,TYPE_FIRE,TYPE_FLYING,ABILITY_PRESSURE,ABILITY_NONE,"Legends claim this Pokémon flies the
world’s skies continuously on its
magnificent, seven-colored wings.",https://play.pokemonshowdown.com/sprites/gen5/hooh.png
250,SPECIES_CELEBI,Celebi,100,100,100,100,100,100,TYPE_PSYCHIC,TYPE_GRASS,ABILITY_NATURAL_CURE,ABILITY_NONE,"This Pokémon wanders across time.
Grass and trees flourish in the
forests in which it has appeared.",https://play.pokemonshowdown.com/sprites/gen5/celebi.png
251,SPECIES_TREECKO,Treecko,40,45,35,70,65,55,TYPE_GRASS,TYPE_GRASS,ABILITY_OVERGROW,ABILITY_NONE,"Small hooks on the bottom of its
feet catch on walls and ceilings.
That is how it can hang from above.",https://play.pokemonshowdown.com/sprites/gen5/treecko.png
252,SPECIES_GROVYLE,Grovyle,50,65,45,95,85,65,TYPE_GRASS,TYPE_GRASS,ABILITY_OVERGROW,ABILITY_NONE,"It leaps from tree branch to tree
branch quite swiftly. It shows
astounding agility.",https://play.pokemonshowdown.com/sprites/gen5/grovyle.png
253,SPECIES_SCEPTILE,Sceptile,70,85,65,120,105,85,TYPE_GRASS,TYPE_GRASS,ABILITY_OVERGROW,ABILITY_NONE,"It agilely leaps about the jungle
and uses the sharp leaves on its
arms to strike its prey.",https://play.pokemonshowdown.com/sprites/gen5/sceptile.png
254,SPECIES_TORCHIC,Torchic,45,60,40,45,70,50,TYPE_FIRE,TYPE_FIRE,ABILITY_BLAZE,ABILITY_NONE,"Inside its body is a place where it
keeps a small flame. Hug it! It will
be as warm as a hot-water bottle.",https://play.pokemonshowdown.com/sprites/gen5/torchic.png
255,SPECIES_COMBUSKEN,Combusken,60,85,60,55,85,60,TYPE_FIRE,TYPE_FIGHTING,ABILITY_BLAZE,ABILITY_NONE,"During a battle, the hot flame in
its body increases. Its kicks have
outstanding destructive power.",https://play.pokemonshowdown.com/sprites/gen5/combusken.png
256,SPECIES_BLAZIKEN,Blaziken,80,120,70,80,110,70,TYPE_FIRE,TYPE_FIGHTING,ABILITY_BLAZE,ABILITY_NONE,"It can clear a 30-story building
in a leap. Its fiery punches scorch
its foes.",https://play.pokemonshowdown.com/sprites/gen5/blaziken.png
257,SPECIES_MUDKIP,Mudkip,50,70,50,40,50,50,TYPE_WATER,TYPE_WATER,ABILITY_TORRENT,ABILITY_NONE,"Its power can crush boulders.
It rests by covering itself with mud
at the bottom of a river.",https://play.pokemonshowdown.com/sprites/gen5/mudkip.png
258,SPECIES_MARSHTOMP,Marshtomp,70,85,70,50,60,70,TYPE_WATER,TYPE_GROUND,ABILITY_TORRENT,ABILITY_NONE,"Living on muddy ground that
provides poor footing has made
its legs sturdy.",https://play.pokemonshowdown.com/sprites/gen5/marshtomp.png
259,SPECIES_SWAMPERT,Swampert,100,110,90,60,85,90,TYPE_WATER,TYPE_GROUND,ABILITY_TORRENT,ABILITY_NONE,"Its arms are hard as rock.
With one swing, it can
break a boulder into pieces.",https://play.pokemonshowdown.com/sprites/gen5/swampert.png
260,SPECIES_POOCHYENA,Poochyena,35,55,35,35,30,30,TYPE_DARK,TYPE_DARK,ABILITY_RUN_AWAY,ABILITY_QUICK_FEET,"It chases its prey until the victim
becomes exhausted. However, it
turns tail if the prey strikes back.",https://play.pokemonshowdown.com/sprites/gen5/poochyena.png
261,SPECIES_MIGHTYENA,Mightyena,70,90,70,70,60,60,TYPE_DARK,TYPE_DARK,ABILITY_INTIMIDATE,ABILITY_QUICK_FEET,"It chases down prey in a pack of
around ten. They defeat foes with
perfectly coordinated teamwork.",https://play.pokemonshowdown.com/sprites/gen5/mightyena.png
262,SPECIES_ZIGZAGOON,Zigzagoon,38,30,41,60,30,41,TYPE_NORMAL,TYPE_NORMAL,ABILITY_PICKUP,ABILITY_GLUTTONY,"It gets interested in everything,
which is why it zigs and zags.
It is good at finding items.",https://play.pokemonshowdown.com/sprites/gen5/zigzagoon.png
263,SPECIES_LINOONE,Linoone,78,70,61,100,50,61,TYPE_NORMAL,TYPE_NORMAL,ABILITY_PICKUP,ABILITY_GLUTTONY,"When running in a straight line, it
can easily top 60 miles an hour. It
has a tough time with curved roads.",https://play.pokemonshowdown.com/sprites/gen5/linoone.png
264,SPECIES_WURMPLE,Wurmple,45,45,35,20,20,30,TYPE_BUG,TYPE_BUG,ABILITY_SHIELD_DUST,ABILITY_NONE,"It lives among the tall grass and in
forests. It repels attacks by 
raising up the spikes on its rear.",https://play.pokemonshowdown.com/sprites/gen5/wurmple.png
265,SPECIES_SILCOON,Silcoon,50,35,55,15,25,25,TYPE_BUG,TYPE_BUG,ABILITY_SHED_SKIN,ABILITY_NONE,"Having wrapped silk around the
branches of a tree, it quiescently
awaits evolution.",https://play.pokemonshowdown.com/sprites/gen5/silcoon.png
266,SPECIES_BEAUTIFLY,Beautifly,60,70,50,65,100,50,TYPE_BUG,TYPE_FLYING,ABILITY_SWARM,ABILITY_NONE,"Vibrantly patterned wings are its
prominent feature. It sucks sweet
flower nectar with its long mouth.",https://play.pokemonshowdown.com/sprites/gen5/beautifly.png
267,SPECIES_CASCOON,Cascoon,50,35,55,15,25,25,TYPE_BUG,TYPE_BUG,ABILITY_SHED_SKIN,ABILITY_NONE,"It endures attacks with patience,
because the more pain before
evolution, the sturdier it becomes.",https://play.pokemonshowdown.com/sprites/gen5/cascoon.png
268,SPECIES_DUSTOX,Dustox,60,50,70,65,50,90,TYPE_BUG,TYPE_POISON,ABILITY_SHIELD_DUST,ABILITY_NONE,"It scatters its fine dust all over
when it is attacked. It is a
nocturnal Pokémon.",https://play.pokemonshowdown.com/sprites/gen5/dustox.png
269,SPECIES_LOTAD,Lotad,40,30,30,30,40,50,TYPE_WATER,TYPE_GRASS,ABILITY_SWIFT_SWIM,ABILITY_RAIN_DISH,"Its leaf grew too large for it to
live on land. That is how it began
to live floating in the water.",https://play.pokemonshowdown.com/sprites/gen5/lotad.png
270,SPECIES_LOMBRE,Lombre,60,50,50,50,60,70,TYPE_WATER,TYPE_GRASS,ABILITY_SWIFT_SWIM,ABILITY_RAIN_DISH,"It is nocturnal and becomes active
at nightfall. It feeds on aquatic
mosses that grow in the riverbed.",https://play.pokemonshowdown.com/sprites/gen5/lombre.png
271,SPECIES_LUDICOLO,Ludicolo,80,70,70,70,90,100,TYPE_WATER,TYPE_GRASS,ABILITY_SWIFT_SWIM,ABILITY_RAIN_DISH,"If it hears festive music, it begins
moving in rhythm in order to
amplify its power.",https://play.pokemonshowdown.com/sprites/gen5/ludicolo.png
272,SPECIES_SEEDOT,Seedot,40,40,50,30,30,30,TYPE_GRASS,TYPE_GRASS,ABILITY_CHLOROPHYLL,ABILITY_EARLY_BIRD,"It attaches itself to a tree branch
using the top of its head. Strong
winds can sometimes make it fall.",https://play.pokemonshowdown.com/sprites/gen5/seedot.png
273,SPECIES_NUZLEAF,Nuzleaf,70,70,40,60,60,40,TYPE_GRASS,TYPE_DARK,ABILITY_CHLOROPHYLL,ABILITY_EARLY_BIRD,"It lives deep in forests. With the
leaf on its head, it makes a flute
whose song makes listeners uneasy.",https://play.pokemonshowdown.com/sprites/gen5/nuzleaf.png
274,SPECIES_SHIFTRY,Shiftry,90,100,60,80,90,60,TYPE_GRASS,TYPE_DARK,ABILITY_CHLOROPHYLL,ABILITY_WIND_RIDER,"It lives quietly in the deep forest.
It is said to create chilly winter
winds with the fans it holds.",https://play.pokemonshowdown.com/sprites/gen5/shiftry.png
275,SPECIES_TAILLOW,Taillow,40,55,30,85,30,30,TYPE_NORMAL,TYPE_FLYING,ABILITY_GUTS,ABILITY_NONE,"When it gets cold, they migrate,
flying over 180 miles a day.
It hunts for tasty prey.",https://play.pokemonshowdown.com/sprites/gen5/taillow.png
276,SPECIES_SWELLOW,Swellow,60,85,60,125,75,50,TYPE_NORMAL,TYPE_FLYING,ABILITY_GUTS,ABILITY_NONE,"It dives at a steep angle as soon
as it spots its prey. It catches
its prey with sharp claws.",https://play.pokemonshowdown.com/sprites/gen5/swellow.png
277,SPECIES_WINGULL,Wingull,40,30,30,85,55,30,TYPE_WATER,TYPE_FLYING,ABILITY_KEEN_EYE,ABILITY_HYDRATION,"It soars on updrafts without
flapping its wings. It makes a nest
on sheer cliffs at the sea’s edge.",https://play.pokemonshowdown.com/sprites/gen5/wingull.png
278,SPECIES_PELIPPER,Pelipper,60,50,100,65,95,70,TYPE_WATER,TYPE_FLYING,ABILITY_KEEN_EYE,ABILITY_DRIZZLE,"It protects its young in its beak.
It bobs on waves, resting on them
on days when the waters are calm.",https://play.pokemonshowdown.com/sprites/gen5/pelipper.png
279,SPECIES_RALTS,Ralts,28,25,25,40,45,35,TYPE_PSYCHIC,TYPE_FAIRY,ABILITY_SYNCHRONIZE,ABILITY_TRACE,"The horns on its head provide a
strong power that enables
it to sense people’s emotions.",https://play.pokemonshowdown.com/sprites/gen5/ralts.png
280,SPECIES_KIRLIA,Kirlia,38,35,35,50,65,55,TYPE_PSYCHIC,TYPE_FAIRY,ABILITY_SYNCHRONIZE,ABILITY_TRACE,"It has a psychic power that
enables it to distort the space
around it and see into the future.",https://play.pokemonshowdown.com/sprites/gen5/kirlia.png
281,SPECIES_GARDEVOIR,Gardevoir,68,65,65,80,125,115,TYPE_PSYCHIC,TYPE_FAIRY,ABILITY_SYNCHRONIZE,ABILITY_TRACE,"It unleashes psychokinetic energy
at full power when protecting a
Trainer it has bonded closely with.",https://play.pokemonshowdown.com/sprites/gen5/gardevoir.png
282,SPECIES_SURSKIT,Surskit,40,30,32,65,50,52,TYPE_BUG,TYPE_WATER,ABILITY_SWIFT_SWIM,ABILITY_NONE,"It secretes a thick, sweet-scented
syrup from the tip of its head.
It lives on weed-choked ponds.",https://play.pokemonshowdown.com/sprites/gen5/surskit.png
283,SPECIES_MASQUERAIN,Masquerain,70,60,62,80,100,82,TYPE_BUG,TYPE_FLYING,ABILITY_INTIMIDATE,ABILITY_NONE,"It flaps its four wings to hover and
fly freely in any direction--
to and fro and sideways.",https://play.pokemonshowdown.com/sprites/gen5/masquerain.png
284,SPECIES_SHROOMISH,Shroomish,60,40,60,35,40,60,TYPE_GRASS,TYPE_GRASS,ABILITY_EFFECT_SPORE,ABILITY_POISON_HEAL,"If it senses danger, it scatters
spores from the top of its head to
protect itself.",https://play.pokemonshowdown.com/sprites/gen5/shroomish.png
285,SPECIES_BRELOOM,Breloom,60,130,80,70,60,60,TYPE_GRASS,TYPE_FIGHTING,ABILITY_EFFECT_SPORE,ABILITY_POISON_HEAL,"It scatters poisonous spores and
throws powerful punches while its
foe is hampered by inhaled spores.",https://play.pokemonshowdown.com/sprites/gen5/breloom.png
286,SPECIES_SLAKOTH,Slakoth,60,60,60,30,35,35,TYPE_NORMAL,TYPE_NORMAL,ABILITY_TRUANT,ABILITY_NONE,"The way SLAKOTH lolls around makes
anyone who watches it feel like
doing the same.",https://play.pokemonshowdown.com/sprites/gen5/slakoth.png
287,SPECIES_VIGOROTH,Vigoroth,80,80,80,90,55,55,TYPE_NORMAL,TYPE_NORMAL,ABILITY_VITAL_SPIRIT,ABILITY_NONE,"Its stress level rises if it
cannot keep moving constantly.
Too much stress makes it feel sick.",https://play.pokemonshowdown.com/sprites/gen5/vigoroth.png
288,SPECIES_SLAKING,Slaking,150,160,100,100,95,65,TYPE_NORMAL,TYPE_NORMAL,ABILITY_TRUANT,ABILITY_NONE,"The world’s laziest Pokémon.
It moves to another spot when there’s
no food left within its reach.",https://play.pokemonshowdown.com/sprites/gen5/slaking.png
289,SPECIES_NINCADA,Nincada,31,45,90,40,30,30,TYPE_BUG,TYPE_GROUND,ABILITY_COMPOUND_EYES,ABILITY_NONE,"It can sometimes live underground for
more than 10 years. It absorbs
nutrients from the roots of trees.",https://play.pokemonshowdown.com/sprites/gen5/nincada.png
290,SPECIES_NINJASK,Ninjask,61,90,45,160,50,50,TYPE_BUG,TYPE_FLYING,ABILITY_SPEED_BOOST,ABILITY_NONE,"Its cry leaves a lasting headache
if heard for too long. It moves so
quickly that it is almost invisible.",https://play.pokemonshowdown.com/sprites/gen5/ninjask.png
291,SPECIES_SHEDINJA,Shedinja,1,90,45,40,30,30,TYPE_BUG,TYPE_GHOST,ABILITY_WONDER_GUARD,ABILITY_NONE,"A strange Pokémon--it flies without
moving its wings, has a hollow shell
for a body, and does not breathe.",https://play.pokemonshowdown.com/sprites/gen5/shedinja.png
292,SPECIES_WHISMUR,Whismur,64,51,23,28,51,23,TYPE_NORMAL,TYPE_NORMAL,ABILITY_SOUNDPROOF,ABILITY_NONE,"If it senses danger, it scares
the foe by crying out with the
volume of a jet-plane engine.",https://play.pokemonshowdown.com/sprites/gen5/whismur.png
293,SPECIES_LOUDRED,Loudred,84,71,43,48,71,43,TYPE_NORMAL,TYPE_NORMAL,ABILITY_SOUNDPROOF,ABILITY_NONE,"It shouts loudly by inhaling air, and
then uses its well-developed
stomach muscles to exhale.",https://play.pokemonshowdown.com/sprites/gen5/loudred.png
294,SPECIES_EXPLOUD,Exploud,104,91,63,68,91,73,TYPE_NORMAL,TYPE_NORMAL,ABILITY_SOUNDPROOF,ABILITY_NONE,"Its roar in battle shakes the
ground like a tremor--or like
an earthquake has struck.",https://play.pokemonshowdown.com/sprites/gen5/exploud.png
295,SPECIES_MAKUHITA,Makuhita,72,60,30,25,20,30,TYPE_FIGHTING,TYPE_FIGHTING,ABILITY_THICK_FAT,ABILITY_GUTS,"It toughens up by slamming into
thick trees over and over. It gains
a sturdy body and dauntless spirit.",https://play.pokemonshowdown.com/sprites/gen5/makuhita.png
296,SPECIES_HARIYAMA,Hariyama,144,120,60,50,40,60,TYPE_FIGHTING,TYPE_FIGHTING,ABILITY_THICK_FAT,ABILITY_GUTS,"It loves challenging others to
tests of strength. It has the
power to stop a train with a slap.",https://play.pokemonshowdown.com/sprites/gen5/hariyama.png
297,SPECIES_AZURILL,Azurill,50,20,40,20,20,40,TYPE_NORMAL,TYPE_FAIRY,ABILITY_THICK_FAT,ABILITY_HUGE_POWER,"Its tail is packed full of the
nutrients it needs to grow.",https://play.pokemonshowdown.com/sprites/gen5/azurill.png
298,SPECIES_NOSEPASS,Nosepass,30,45,135,30,45,90,TYPE_ROCK,TYPE_ROCK,ABILITY_STURDY,ABILITY_MAGNET_PULL,"If two of these meet, they cannot
get too close because their noses
repel each other.",https://play.pokemonshowdown.com/sprites/gen5/nosepass.png
299,SPECIES_SKITTY,Skitty,50,45,45,50,35,35,TYPE_NORMAL,TYPE_NORMAL,ABILITY_CUTE_CHARM,ABILITY_NORMALIZE,"It’s adorable when it chases its own
tail. It’s difficult to earn its trust.",https://play.pokemonshowdown.com/sprites/gen5/skitty.png
300,SPECIES_DELCATTY,Delcatty,70,65,65,90,55,55,TYPE_NORMAL,TYPE_NORMAL,ABILITY_CUTE_CHARM,ABILITY_NORMALIZE,"It dislikes dirty places. It often
searches for a comfortable place
in which to groom itself.",https://play.pokemonshowdown.com/sprites/gen5/delcatty.png
301,SPECIES_SABLEYE,Sableye,50,75,75,50,65,65,TYPE_DARK,TYPE_GHOST,ABILITY_KEEN_EYE,ABILITY_STALL,"It dwells in the darkness of caves.
It uses its sharp claws to dig up
gems to nourish itself.",https://play.pokemonshowdown.com/sprites/gen5/sableye.png
302,SPECIES_MAWILE,Mawile,50,85,85,50,55,55,TYPE_STEEL,TYPE_FAIRY,ABILITY_HYPER_CUTTER,ABILITY_INTIMIDATE,"It chomps with its gaping mouth.
Its huge jaws are actually steel
horns that have been transformed.",https://play.pokemonshowdown.com/sprites/gen5/mawile.png
303,SPECIES_ARON,Aron,50,70,100,30,40,40,TYPE_STEEL,TYPE_ROCK,ABILITY_STURDY,ABILITY_ROCK_HEAD,"When it evolves, it sheds the steel
carapace that covered its whole body
and develops a new one.",https://play.pokemonshowdown.com/sprites/gen5/aron.png
304,SPECIES_LAIRON,Lairon,60,90,140,40,50,50,TYPE_STEEL,TYPE_ROCK,ABILITY_STURDY,ABILITY_ROCK_HEAD,"It loves iron ore. Groups of them
fight for territory by bashing one
another with their steel bodies.",https://play.pokemonshowdown.com/sprites/gen5/lairon.png
305,SPECIES_AGGRON,Aggron,70,110,180,50,60,60,TYPE_STEEL,TYPE_ROCK,ABILITY_STURDY,ABILITY_ROCK_HEAD,"You can tell its age by the length
of its iron horns. It claims an
entire mountain as its territory.",https://play.pokemonshowdown.com/sprites/gen5/aggron.png
306,SPECIES_MEDITITE,Meditite,30,40,55,60,40,55,TYPE_FIGHTING,TYPE_PSYCHIC,ABILITY_PURE_POWER,ABILITY_NONE,"It meditates to heighten its inner
energy and to float in the air.
It eats one berry a day.",https://play.pokemonshowdown.com/sprites/gen5/meditite.png
307,SPECIES_MEDICHAM,Medicham,60,60,75,80,60,75,TYPE_FIGHTING,TYPE_PSYCHIC,ABILITY_PURE_POWER,ABILITY_NONE,"Through yoga training, it gained
the psychic power to predict
its foe’s next move.",https://play.pokemonshowdown.com/sprites/gen5/medicham.png
308,SPECIES_ELECTRIKE,Electrike,40,45,40,65,65,40,TYPE_ELECTRIC,TYPE_ELECTRIC,ABILITY_STATIC,ABILITY_LIGHTNING_ROD,"It stores electricity in its fur. It
gives off sparks from all over its
body in seasons when the air is dry.",https://play.pokemonshowdown.com/sprites/gen5/electrike.png
309,SPECIES_MANECTRIC,Manectric,70,75,60,105,105,60,TYPE_ELECTRIC,TYPE_ELECTRIC,ABILITY_STATIC,ABILITY_LIGHTNING_ROD,"Its nest can be found where a
thunderbolt hits. It is discharging
electricity from its mane.",https://play.pokemonshowdown.com/sprites/gen5/manectric.png
310,SPECIES_PLUSLE,Plusle,60,50,40,95,85,75,TYPE_ELECTRIC,TYPE_ELECTRIC,ABILITY_PLUS,ABILITY_NONE,"It absorbs electricity from
telephone poles. It shorts out its
body to create crackling noises.",https://play.pokemonshowdown.com/sprites/gen5/plusle.png
311,SPECIES_MINUN,Minun,60,40,50,95,75,85,TYPE_ELECTRIC,TYPE_ELECTRIC,ABILITY_MINUS,ABILITY_NONE,"Exposure to electricity from MINUN
and PLUSLE promotes blood
circulation and relaxes muscles.",https://play.pokemonshowdown.com/sprites/gen5/minun.png
312,SPECIES_VOLBEAT,Volbeat,65,73,75,85,47,85,TYPE_BUG,TYPE_BUG,ABILITY_ILLUMINATE,ABILITY_SWARM,"It emits light from its tail to
communicate. It loves the
sweet aroma given off by ILLUMISE.",https://play.pokemonshowdown.com/sprites/gen5/volbeat.png
313,SPECIES_ILLUMISE,Illumise,65,47,75,85,73,85,TYPE_BUG,TYPE_BUG,ABILITY_OBLIVIOUS,ABILITY_TINTED_LENS,"Its fragrance attracts a swarm of
VOLBEAT, so they draw over 200
patterns in the night sky.",https://play.pokemonshowdown.com/sprites/gen5/illumise.png
314,SPECIES_ROSELIA,Roselia,50,60,45,65,100,80,TYPE_GRASS,TYPE_POISON,ABILITY_NATURAL_CURE,ABILITY_POISON_POINT,"ROSELIA that drink nutritionally
rich springwater are said to reveal
rare coloration when they bloom.",https://play.pokemonshowdown.com/sprites/gen5/roselia.png
315,SPECIES_GULPIN,Gulpin,70,43,53,40,43,53,TYPE_POISON,TYPE_POISON,ABILITY_LIQUID_OOZE,ABILITY_STICKY_HOLD,"It has a small heart and brain. Its
stomach comprises most of its body,
with enzymes to dissolve anything.",https://play.pokemonshowdown.com/sprites/gen5/gulpin.png
316,SPECIES_SWALOT,Swalot,100,73,83,55,73,83,TYPE_POISON,TYPE_POISON,ABILITY_LIQUID_OOZE,ABILITY_STICKY_HOLD,"It gulps anything that fits in its
mouth. Its special enzymes can
dissolve anything.",https://play.pokemonshowdown.com/sprites/gen5/swalot.png
317,SPECIES_CARVANHA,Carvanha,45,90,20,65,65,20,TYPE_WATER,TYPE_DARK,ABILITY_ROUGH_SKIN,ABILITY_NONE,"They form packs to attack boats
and rip out their hulls to sink them.
They live in rivers in the jungle.",https://play.pokemonshowdown.com/sprites/gen5/carvanha.png
318,SPECIES_SHARPEDO,Sharpedo,70,120,40,95,95,40,TYPE_WATER,TYPE_DARK,ABILITY_ROUGH_SKIN,ABILITY_NONE,"It can swim at speeds of 75 mph by
jetting seawater through its body.
It is the bandit of the sea.",https://play.pokemonshowdown.com/sprites/gen5/sharpedo.png
319,SPECIES_WAILMER,Wailmer,130,70,35,60,70,35,TYPE_WATER,TYPE_WATER,ABILITY_WATER_VEIL,ABILITY_OBLIVIOUS,"It bounces playfully like a ball.
The more seawater it swallows,
the higher it bounces.",https://play.pokemonshowdown.com/sprites/gen5/wailmer.png
320,SPECIES_WAILORD,Wailord,170,90,45,60,90,45,TYPE_WATER,TYPE_WATER,ABILITY_WATER_VEIL,ABILITY_OBLIVIOUS,"It is the largest of all identified
Pokémon. They jump as a pack
to herd their prey.",https://play.pokemonshowdown.com/sprites/gen5/wailord.png
321,SPECIES_NUMEL,Numel,60,60,40,35,65,45,TYPE_FIRE,TYPE_GROUND,ABILITY_OBLIVIOUS,ABILITY_SIMPLE,"The flaming magma it stores in the
hump on its back is the source of
its tremendous power.",https://play.pokemonshowdown.com/sprites/gen5/numel.png
322,SPECIES_CAMERUPT,Camerupt,70,100,70,40,105,75,TYPE_FIRE,TYPE_GROUND,ABILITY_MAGMA_ARMOR,ABILITY_SOLID_ROCK,"It lives in the crater of a volcano.
It is well known that the humps on
its back erupt every 10 years.",https://play.pokemonshowdown.com/sprites/gen5/camerupt.png
323,SPECIES_TORKOAL,Torkoal,70,85,140,20,85,70,TYPE_FIRE,TYPE_FIRE,ABILITY_WHITE_SMOKE,ABILITY_DROUGHT,"You find abandoned coal mines full
of them. They dig tirelessly in
search of coal.",https://play.pokemonshowdown.com/sprites/gen5/torkoal.png
